record_type,source_file,source_sr_no,state,constituency,mp_name,ida,work_id,work_category,work_type,work_description,recommended_date,sanction_date,completion_date,expenditure_date,consent_date,recommended_amount,sanction_amount,amount_disbursed,fund_disbursed_amount,consent_amount,allocated_amount,work_status,payment_status,vendor_name,calamity_type,calamity_name,image_marker
Works Recommended,Works Recommended (1).xlsx,102581,Rajasthan,JHALAWAR-BARAN,Dushyant Singh,JHALAWAR(DISTRICT COLLECTOR JHALAWAR_IDA),,Normal/Others,Construction of buildings for crèches and anganwadies,Kitchen shed construction in the Government School Campus in Paroliya,2026-08-24,,,,,300000.0,,,,,,,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,23200,Uttar Pradesh,FAIZABAD,AWADHESH PRASAD,AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA),WS/MP18215/2025-2026/252720,,Lighting of public spaces,,,,,2026-08-11,,,,,61299.0,,,,Payment Success,Manoj kumar Srivastava,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,28043,Jharkhand,RAJMAHAL(ST),Vijay Kumar Hansdak,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),WS/MP607/2025-2026/209818,,Construction of water tanks,,,,,2025-09-21,,,,,105000.0,,,,Payment Success,ARJUN KUMAR SAH,,,
Works Recommended,Works Recommended (1).xlsx,93683,Madhya Pradesh,DHAR(ST),SAVITRI THAKUR,DHAR(DISTRICT COLLECTOR DHAR_IDA),,Normal/Others,Improvement of electricity distribution infrastructure,Gram Jhegda ke bdpura mohalla me 11 kva Dp electrical work,2026-07-13,,,,,350000.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,66340,Uttar Pradesh,NAGINA(SC),CHANDRA SHEKHAR,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),WS/MP18404/2025-2026/251705,Normal/Others,Lighting of public spaces,HIGH MAST LIGHT WITH FOUR LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE,2025-12-01,2026-01-07,,,,106900.0,,,,,,,,,,,
Works Sanctioned,Works Sanctioned.xlsx,59334,Karnataka,RAICHUR(ST),G. KUMAR NAIK,RAICHUR(DEPUTY COMMISSIONER RAICHUR_IDA),WS/MP18092/2025-2026/246909,Normal/Others,Lighting of public spaces,Installation of  High mast light In Ramalooti village Lingasugur taluk,2025-11-08,2026-03-11,,,,,500000.0,,,,,Work partially Completed,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,73188,Madhya Pradesh,CHHINDWARA,BUNTY VIVEK SAHU,CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA),WS/MP18100/2025-2026/180529,,Purchase of mobile water tankers,,,,,2025-06-02,,,,,125000.0,,,,Payment Success,Gram pancahyat  bheskhoh,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,55588,Madhya Pradesh,SATNA,Ganesh Singh,SATNA(DISTRICT COLLECTOR SATNA_IDA),WS/MP642/2025-2026/196586,,Improvement of electricity distribution infrastructure,,,,,2026-04-14,,,,,186079.0,,,,Payment Success,ARVIND SINGH SATNA,,,
Works Recommended,Works Recommended (1).xlsx,56127,Jharkhand,KHUNTI(ST),KALI CHARAN MUNDA,RANCHI(DEPUTY COMMISSIONER RANCHI_IDA),WS/MP18074/2026-2027/233993,Normal/Others,Purchase of books and periodicals for libraries/digitization of library books,Purchase of books in Govt Middle School Reladih,2025-09-19,2026-09-02,,,,100000.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,55833,Gujarat,SABARKANTHA,SHOBHANABEN MAHENDRASINH BARAIYA,SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA),WS/MP18321/2025-2026/233629,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",DUNGARI GAME PATEL SAMAJVADI PASE CC ROAD NU KAM,2025-09-13,2025-10-08,,,,250000.0,,,,,,,,,,,
Works Sanctioned,Works Sanctioned.xlsx,51182,Karnataka,MANDYA,H.D. KUMARASWAMY,MANDYA(DEPUTY COMMISSIONER MANDYA_IDA),WS/MP18090/2025-2026/231361,Normal/Others,Construction of community centers and community halls,Construction Of Shree Cheluvaraya Swami Seva Trust Samudhaya Bhavana,2025-09-18,2026-02-23,,,,,1000000.0,,,,,Vendor Identification,,,,,
Works Completed,Works Completed.xlsx,30835,Delhi,CHANDINI CHOWK,Praveen Khandelwal,NORTH(COMMISSIONER MCD NORTH_IDA),WS/MP18395/2025-2026/212645,Normal/Others,"Providing sports equipment, except consumable items",Providing and Installation of children play equipment in C-1 and C-2 Block Ashok Vihar Ph- II (Ram Lila Wala Park) ward No 65 Kehavpuram,,,2026-03-28,,,,,335596.0,,,,,,,,,Images
Works Sanctioned,Works Sanctioned.xlsx,23274,Gujarat,JUNAGADH,Rajeshbhai Naranbhai Chudasama,GIR SOMNATH(DISTRICT COLLECTOR GIR SOMNATH_IDA),WS/MP323/2025-2026/180054,Normal/Others,Construction of community centers and community halls,"Gir Somnath District,Veraval Taluka,Indroi Villege, Work to build a community hall in Indroi village",2025-03-07,2025-07-18,,,,,500000.0,,,,,Physical Inspection,,,,,
Works Recommended,Works Recommended (1).xlsx,74896,Uttar Pradesh,SHRAWASTI,Ram Shiromani,BALRAMPUR(DISTRICT MAGISTRATE BALRAMPUR_IDA),,Normal/Others,Lighting of public spaces,6-Installation of a solar street light near the Shiva temple in front of W. Upadhyay house.,2026-02-08,,,,,26150.0,,,,,,,,,,,
Works Sanctioned,Works Sanctioned.xlsx,52784,Odisha,KORAPUT(ST),Saptagiri Sankar Ulaka,KORAPUT(District Collector Koraput_IDA),WS/MP453/2025-2026/234147,Normal/Others,Providing drains and gutters for public drainage,"Construction of Drain at Badliguda Bata house to Community Centre of Badliguda Village, Pottangi GP, Pottangi Block",2025-09-15,2025-12-01,,,,,200000.0,,,,,Work partially Completed,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,47913,Uttar Pradesh,SITAPUR,RAKESH RATHOR,SITAPUR(DISTRICT MAGISTRATE SITAPUR_IDA),WS/MP18241/2024-2025/160143,,"Construction of roads, link roads, pathways or any other road with or without drainage system",,,,,2025-09-10,,,,,370606.0,,,,Payment Success,B S CONSTRUCTION COMPANY,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,28786,Himachal Pradesh,HAMIRPUR_HP,Anurag Singh Thakur,MANDI(DEPUTY COMMISSIONER MANDI_IDA),WS/MP432/2025-2026/222608,,Construction of community centers and community halls,,,,,2025-10-15,,,,,50000.0,,,,Payment Success,GPChowki,,,
Works Recommended,Works Recommended (1).xlsx,57461,Uttar Pradesh,MACHHLISHAHR(SC),PRIYA SAROJ,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),WS/MP18228/2025-2026/236086,Normal/Others,Street lights,BANARASI GOND SO SECHAN KE GHAR KE PASS 01 NAG SOLAR STREET LIGHT,2025-09-22,2026-02-03,,,,19855.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,16317,Karnataka,MYSORE,YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,MYSURU(DEPUTY COMMISSIONER MYSORE_IDA),WS/MP18091/2025-2026/164324,Normal/Others,Installing community drinking water plants,Installation of R.O. Water Plant,2025-01-09,2025-09-09,,,,800000.0,,,,,,,,,,,
Works Completed,Works Completed.xlsx,8818,Odisha,SUNDARGARH (ST),Shri Jual Oram,Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA),WS/MP370/2025-2026/185002,Normal/Others,Construction of boundary walls of existing public and community buildings,"Construction of boundary wall of Oraon Masan Ghat, Jagda",,,2025-11-26,,,,,500000.0,,,,,,,,,Images
Works Completed,Works Completed.xlsx,19384,Madhya Pradesh,KHANDWA,Gyaneshwar Patil,Khandwa (East Nimar)(DISTRICT COLLECTOR EAST NIMAR_IDA),WS/MP643/2025-2026/208694,Normal/Others,Lighting of public spaces,solar high mast,,,2026-01-21,,,,,364247.0,,,,,,,,,Images
Works Recommended,Works Recommended (1).xlsx,83864,Jharkhand,HAZARIBAGH,MANISH JAISWAL,HAZARIBAGH(DEPUTY COMMISSIONER HAZARIBAGH_IDA),WS/MP18073/2026-2027/279352,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",CONSTRUCTION OF LAYING PCC ROAD IN SHAMSHAAN GHAR AT VILL PABRA,2026-05-03,2026-06-20,,,,500000.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,39943,Uttar Pradesh,ROBERTSGANJ(SC),CHHOTELAL,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),WS/MP18236/2025-2026/206663,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",Construction of drain and CC road from Chaudhary Vanvasi  house to Hira Vanvasi house in Gram Panchayat Atayastganj.,2025-06-05,2025-09-15,,,,550000.0,,,,,,,,,,,
Works Sanctioned,Works Sanctioned.xlsx,49935,Odisha,KEONJHAR(ST),ANANTA NAYAK,Kendujhar(DISTRICT COLLECTOR KEONJHAR_IDA),WS/MP18146/2026-2027/228773,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system","Construction of CC Road from Khajirapat to Raghunathpur Mahanta Sahi, GP-Khajirapat, Block-Saharapada, Executing agency ITDA Keonjhar",2025-08-25,2026-05-15,,,,,400000.0,,,,,Work partially Completed,,,,,
Works Recommended,Works Recommended (1).xlsx,82119,Andhra Pradesh,NELLORE(SC),PRABHAKAR REDDY VEMIREDDY,Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA),WS/MP18014/2026-2027/276763,Normal/Others,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,Construction of Compound Wall to Burial Ground at Gundalammapalem of Kodavalur Mandal,2026-04-01,2026-05-21,,,,500000.0,,,,,,,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,13302,Punjab,GURDASPUR,SUKHJINDER SINGH RANDHAWA,GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA),WS/MP18154/2025-2026/166550,,"Construction of roads, link roads, pathways or any other road with or without drainage system",,,,,2026-03-07,,,,,35000.0,,,,Payment Success,RANDHAWA BRICK KILN,,,
Works Recommended,Works Recommended (1).xlsx,98104,Bihar,GOPALGANJ (SC),Alok Kumar Suman,GOPALGANJ(DISTRICT PLANNING OFFICER GOPALGANJ_IDA),,Normal/Others,Lighting of public spaces,sansad sadasya sthaniya kshetra vikas yojana ke antargat mere sansad nidhi se gopalganj jile ke gopalganj nagar parishad evam meerganj nagar parishad mein 5 high mast light (bijli sahit) ki aapurti evam adhishthapan hetu 49 lakh 90 hajar rupaye ki anushansa ki jaati hai .,2026-08-04,,,,,998000.0,,,,,,,,,,,
Works Sanctioned,Works Sanctioned.xlsx,26968,Madhya Pradesh,JABALPUR,ASHISH DUBEY,JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA),WS/MP18105/2025-2026/185669,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",Construction of road from Mukesh Sahu house to Sonelal Patel house,2025-03-23,2025-09-29,,,,,186000.0,,,,,Vendor Identification,,,,,
Works Recommended,Works Recommended (1).xlsx,17503,Kerala,MAVELIKKARA(SC),Shri Suresh Kodikunnil,KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA),WS/MP347/2024-2025/166703,Normal/Others,Street lights,"Provide Minimast Light at St.Marys Malankara Catholica Church Junction, Sooranadu North, Ward 13 Sooranadu North Grama Panchayath",2025-01-20,2025-03-10,,,,228677.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,43516,Bihar,HAJIPUR(SC),CHIRAG PASWAN,VAISHALI(DISTRICT PLANNING OFFICER VAISHALI_IDA),WS/MP18034/2025-2026/212375,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system","Hajipur Nagar Parishad, Ward No. 4 Me Shiv Narayan Paswan ke Ghar Se Lakhan Paswan Ke Ghar Tak PCC Sadak Nirman",2025-06-25,2025-08-14,,,,989857.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,38930,Rajasthan,BARMER,UMMEDA RAM BENIWAL,Balotra(DISTRICT COLLECTOR Balotra_IDA),WS/MP18160/2025-2026/204804,Normal/Others,"Purchase of smart boards, visual display units and projectors",As per Attechment,2025-06-07,2025-10-01,,,,450000.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,65240,Telangana,KHAMMAM,RAMASAHAYAM RAGHURAM REDDY,KHAMMAM(DISTRICT COLLECTOR KHAMMAM_IDA),WS/MP18189/2026-2027/250016,Normal/Others,Installing tube-wells and borewells,Digging of Bore Well near Mogili Pullaiah house Ramalayam back side Goparam village,2025-11-22,2026-06-18,,,,80000.0,,,,,,,,,,,
Works Completed,Works Completed.xlsx,16280,Odisha,KORAPUT(ST),Saptagiri Sankar Ulaka,KORAPUT(District Collector Koraput_IDA),WS/MP453/2025-2026/208325,Normal/Others,Construction of community centers and community halls,"Construction of Community Hall at Thatapadar Village, Mahadeiput GP, Koraput Block",,,2025-09-23,,,,,300000.0,,,,,,,,,
Works Sanctioned,Works Sanctioned.xlsx,49663,Jharkhand,RANCHI,Sanjay Seth,RANCHI(DEPUTY COMMISSIONER RANCHI_IDA),WS/MP435/2025-2026/228358,Normal/Others,Construction of common work sheds/ common covered sitting area,"Construction of a Platform in the village Dulmi under Lowahtu Panchayat of the Rahe block, Ranchi, Jharkhand.",2025-08-25,2025-12-10,,,,,227400.0,,,,,Vendor Identification,,,,,
Works Sanctioned,Works Sanctioned.xlsx,76235,Haryana,SONEPAT,SATPAL BRAHAMCHARI,JIND(DEPUTY COMMISSIONER JIND),WS/MP18067/2026-2027/285472,Normal/Others,Purchase of mobile water tankers,Purchase of one Water Tanker in GP Dalamwala,2026-06-18,2026-09-04,,,,,185000.0,,,,,Sanction,,,,,
Works Sanctioned,Works Sanctioned.xlsx,49638,Gujarat,GANDHINAGAR,Shri Amit Shah,GANDHINAGAR(DISTRICT COLLECTOR GANDHINAGAR_IDA),WS/MP324/2025-2026/228327,Repair and Renovation,Construction of community centers and community halls,Renovation of Village Community Hall - Sonipur Village,2025-08-22,2026-02-20,,,,,400000.0,,,,,Sanction,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,80577,Bihar,VALMIKI NAGAR,Sunil Kumar,PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA),WS/MP555/2025-2026/208600,,Construction of public staircase/ stair ghat for public convenience,,,,,2026-02-27,,,,,795872.0,,,,Payment Success,ASSISTANT ENGINEER NARKATIYAGINJ,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,42602,Tamil Nadu,TENKASI(SC),DR RANI SRI KUMAR,TENKASI(DISTRICT COLLECTOR TENKASI_IDA),WS/MP18182/2025-2026/161257,,Street lights,,,,,2025-06-28,,,,,421555.0,,,,Payment Success,SUPER ELECTRICALS,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,83717,Telangana,BHONGIR,CHAMALA KIRAN KUMAR REDDY,NALGONDA(DISTRICT COLLECTOR NALGONDA),WS/MP18338/2024-2025/153022,,Street lights,,,,,2025-04-02,,,,,200000.0,,,,Payment Success,PANNALA NALINI,,,
Works Sanctioned,Works Sanctioned.xlsx,56118,West Bengal,BARDHAMAN-DURGAPUR,AZAD KIRTI JHA,PASCHIM BARDHAMAN(DISTRICT MAGISTRATE PASCHIM BARDHAMAN_IDA),WS/MP18277/2025-2026/240693,Normal/Others,Construction of public staircase/ stair ghat for public convenience,Construction of public Chatt Ghat Jaggridi Sangha DMC WARD NO 34,2025-10-07,2026-01-21,,,,,690961.0,,,,,Sanction,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,35914,Tamil Nadu,KRISHNAGIRI,GOPINATH K,KRISHNAGIRI(DISTRICT COLLECTOR KRISHNAGIRI_IDA),WS/MP18267/2026-2027/260596,,Street lights,,,,,2026-06-16,,,,,607758.0,,,,Payment Success,Sri Vaari Total Gaz Distributors,,,
Works Recommended,Works Recommended (1).xlsx,2864,Uttar Pradesh,JALAUN(SC),NARAYAN DAS AHIRWAR,JALAUN(DISTRICT MAGISTRATE JALAUN_IDA),WS/MP18221/2025-2026/140923,Normal/Others,Lighting of public spaces,MS Pole with LED semi High Mast Light,2024-09-15,2025-06-05,,,,243000.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,87201,Kerala,KOTTAYAM,ADV K FRANCIS GEORGE,ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA),,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",Construction of Kottayil -Thazhepdam Road,2026-06-12,,,,,600000.0,,,,,,,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,22433,Assam,JORHAT,GAURAV GOGOI,SIVASAGAR(Deputy Commissioner Sivsagar_IDA),WS/MP18024/2025-2026/154709,,Construction of public libraries and reading rooms,,,,,2026-07-09,,,,,95954.0,,,,Payment Success,PRANJAL KONWAR,,,
Works Recommended,Works Recommended (1).xlsx,19467,Punjab,FIROZPUR,SHER SINGH GHUBAYA,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),WS/MP18153/2024-2025/170753,Normal/Others,Installing community drinking water plants,Installation of RO System at GPS Rishi valmik,2025-01-30,2025-02-06,,,,232932.0,,,,,,,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,52899,Karnataka,RAICHUR(ST),G. KUMAR NAIK,RAICHUR(DEPUTY COMMISSIONER RAICHUR_IDA),WS/MP18092/2025-2026/178104,,"Construction of Government office buildings (Post office, Police station, Police chauki, etc.)",,,,,2025-05-15,,,,,1500000.0,,,,Payment Success,CASHUTEC Nirmithi Kendra,,,
Works Sanctioned,Works Sanctioned.xlsx,11255,Haryana,HISAR,JAI PARKASH,HISAR(DEPUTY COMMISSIONER HISSAR_IDA),WS/MP18062/2025-2026/156121,Normal/Others,Construction of common work sheds/ common covered sitting area,CONST. WORKS IN SHREE KRISHANA SHREE SHREE 1008 GAUSHALA BALAK,2024-11-30,2025-04-08,,,,,1000000.0,,,,,Vendor Identification,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,66336,Uttar Pradesh,NAGINA(SC),CHANDRA SHEKHAR,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),WS/MP18404/2025-2026/251748,,Lighting of public spaces,,,,,2026-01-31,,,,,80057.0,,,,Payment Success,Gul Ahmad Contractor,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,74102,Uttar Pradesh,MISRIKH(SC),Ashok Kumar Rawat,SITAPUR(DISTRICT MAGISTRATE SITAPUR_IDA),WS/MP507/2026-2027/290535,,Lighting of public spaces,,,,,2026-08-24,,,,,5651433.0,,,,Payment Success,SHRI GURU KRIPA NARSINGH ASSOCIATES,,,
Works Sanctioned,Works Sanctioned.xlsx,62507,Jharkhand,JAMSHEDPUR,Bidyut Baran Mahato,EAST SINGHBUM(DEPUTY COMMISSIONER EAST SINGHBUM_IDA),WS/MP606/2025-2026/253803,Normal/Others,Construction of common work sheds/ common covered sitting area,Village Chaupal in village Samka Tola Chudkinkocha of Jugisol Panchayat under Dhalbhumgarh block.,2025-12-13,2025-12-20,,,,,570500.0,,,,,Vendor Identification,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,10726,Andhra Pradesh,RAJAMPET,Midhun Reddy,Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA),WS/MP524/2025-2026/215311,,"Construction of roads, link roads, pathways or any other road with or without drainage system",,,,,2026-03-18,,,,,191444.0,,,,Payment Success,T Sai Sumanth Reddy,,,
Works Recommended,Works Recommended (1).xlsx,98729,Gujarat,RAJKOT,PARSHOTTAMBHAI RUPALA,MORBI(District collector Morbi_IDA),,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",Paver Block work from jagadishbhai home toward devrajbhai home,2026-08-07,,,,,500000.0,,,,,,,,,,,
Works Sanctioned,Works Sanctioned.xlsx,27916,Gujarat,AHMEDABAD WEST(SC),DINESHBHAI MAKWANA,Ahmedabad(DISTRICT COLLECTOR AHMADABAD_IDA),WS/MP18053/2025-2026/187251,Normal/Others,Purchase of sports equipment,"Gomtipur GUJ School No.6, Jogni Mata Mandir Pase, GomtiPur ma Indore Games Equipment -Purchase of sports equipment",2025-03-27,2025-07-22,,,,,187000.0,,,,,Sanction,,,,,
Works Recommended,Works Recommended (1).xlsx,52809,Chhattisgarh,JANJGIR CHAMPA(SC),KAMLESH JANGDE,SAKTI(COLLECTOR SAKTI_IDA),WS/MP18278/2025-2026/228569,Normal/Others,Purchase of books and periodicals for libraries/digitization of library books,GRAM-CHAROUDA ME SHASKIYA UCHHTAR MADHYAMIK VIDHYALAYO KI PUSTAKALAYO ME PUSTAK KHARIDI,2025-08-23,2026-01-21,,,,40000.0,,,,,,,,,,,
Works Sanctioned,Works Sanctioned.xlsx,42821,Uttar Pradesh,NAGINA(SC),CHANDRA SHEKHAR,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),WS/MP18404/2025-2026/215234,Normal/Others,Lighting of public spaces,HIGH MAST LIGHT WITH FOUR LED RECOMMENDED IN MY CONSTITUENCY NAGINA BY IMPLEMNETING AGENCY PCCD BIJNORE,2025-07-05,2025-08-31,,,,,106850.0,,,,,Physical Inspection,,,,,
Works Recommended,Works Recommended (1).xlsx,49276,Tamil Nadu,TIRUVALLUR(SC),Sasikanth Senthil,THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA),WS/MP18186/2026-2027/222924,Normal/Others,Purchase of furniture and fixtures for educational purposes,"Providing Table desk to Summanbukulam, Government higher Secondary School, Gummidipoondi Block",2025-07-29,2026-05-13,,,,500000.0,,,,,,,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,67693,Uttar Pradesh,ROBERTSGANJ(SC),CHHOTELAL,SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA),WS/MP18236/2024-2025/139397,,Lighting of public spaces,,,,,2025-07-10,,,,,188800.0,,,,Payment Success,BAGHEL ENTERPRISES,,,
Works Sanctioned,Works Sanctioned.xlsx,35990,Jharkhand,CHATRA,KALI CHARAN SINGH,CHATRA(DEPUTY COMMISSIONER CHATRA_IDA),WS/MP18071/2025-2026/202756,Repair and Renovation,Renovation of ponds and lakes,Repairing of Larkua Ahar,2025-05-23,2025-11-14,,,,,150000.0,,,,,Vendor Identification,,,,,
